id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
46,DevOps Engineer,Build & Release Engineer,NovaTech Solutions,Hybrid – SF,Full-time (Hybrid),"$150,000 – $180,000",We are looking for a Build & Release Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""Docker"", ""Azure DevOps"", ""Terraform"", ""PowerShell"", ""Linux"", ""CI/CD"", ""Unit Testing""]","[""Tekton"", ""Harbor"", ""Trivy"", ""Cosign"", ""Slack"", ""Postman""]",7+ years,"[""Lead platform engineering initiatives for a multi-cloud environment"", ""Define DevOps standards and promote a culture of operational excellence"", ""Conduct postmortems and drive long-term reliability improvements"", ""Build internal developer platforms using Backstage"", ""Manage capacity planning and cost optimization on AWS and GCP""]"
47,Cloud Engineer,Azure Cloud Engineer,TechCorp,Singapore,Full-time (Hybrid),"$70,000 – $90,000","We are hiring a Azure Cloud Engineer to design and maintain scalable, secure cloud infrastructure.","[""GCP"", ""Terraform"", ""Go"", ""Kubernetes"", ""CI/CD""]","[""Landing Zone"", ""Control Tower"", ""Service Catalog"", ""Macie""]",3-5 years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
48,Mobile App Developer,Android Developer,Cascade Data,"Boston, MA",Contract-to-Hire,"$120,000 – $150,000",We need a Android Developer to lead our mobile engineering efforts and drive platform quality.,"[""Swift"", ""Kotlin"", ""React Native"", ""CI/CD"", ""App Store Connect"", ""REST APIs"", ""Code Review""]","[""Fastlane"", ""TestFlight"", ""Crashlytics"", ""WidgetKit""]",0-2 years,"[""Lead mobile architecture decisions across iOS and Android"", ""Define and enforce mobile coding standards and design patterns"", ""Own the mobile CI/CD pipelines using Bitrise or Fastlane"", ""Coordinate app releases and manage versioning across platforms"", ""Drive cross-functional alignment between design, backend, and mobile teams""]"
49,Cybersecurity Analyst,Senior Security Analyst,BlueSky Analytics,Hybrid – NYC,Full-time,"$110,000 – $130,000","As a Senior Security Analyst, you will be at the forefront of our cyber defense strategy.","[""AWS Security"", ""IAM"", ""GuardDuty"", ""Python"", ""SIEM"", ""REST APIs"", ""Linux""]","[""CISM"", ""SABSA"", ""Zero Trust Architecture"", ""Deception Technology"", ""Postman""]",0-2 years,"[""Perform web application and network penetration tests"", ""Document findings and provide remediation guidance to development teams"", ""Conduct threat modeling for new product features"", ""Stay current on emerging CVEs and threat actor TTPs"", ""Support bug bounty triage and coordinate with external researchers""]"
50,Data Analyst,Product Data Analyst,Horizon Engineering,"London, UK",Full-time,"$120,000 – $150,000","As a Product Data Analyst, you will partner closely with business stakeholders to answer critical questions with data.","[""SQL"", ""Power BI"", ""Python"", ""Excel"", ""Statistics"", ""Code Review""]","[""R"", ""Airflow"", ""BigQuery"", ""Segment"", ""OpenAPI""]",0-1 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
51,Frontend Developer,Junior Frontend Developer,Luminary Tech,"Sydney, Australia",Full-time (Remote),"$80,000 – $100,000","We're hiring a Junior Frontend Developer to craft intuitive, performant UIs for our SaaS platform.","[""React"", ""Redux"", ""TypeScript"", ""Jest"", ""Figma"", ""Agile"", ""Confluence""]","[""React Native"", ""D3.js"", ""Rollup"", ""Figma"", ""Postman"", ""Slack""]",1-3 years,"[""Develop and maintain Vue.js components for the product dashboard"", ""Integrate RESTful and GraphQL APIs into the frontend layer"", ""Ensure cross-browser compatibility and mobile responsiveness"", ""Implement state management using Vuex or Pinia"", ""Write end-to-end tests using Cypress""]"
52,Backend Developer,Python Backend Developer,Orion Software,"Chicago, IL",Contract-to-Hire,"$80,000 – $100,000",We need a Python Backend Developer to take ownership of our backend infrastructure and drive reliability.,"[""Node.js"", ""Express"", ""MongoDB"", ""Docker"", ""Redis"", ""Microservices"", ""Unit Testing""]","[""Istio"", ""Helm"", ""Jaeger"", ""Vault"", ""Swagger"", ""Scrum""]",1-3 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
53,Full Stack Developer,Full Stack Architect,Pixel Dynamics,"San Francisco, CA",Contract-to-Hire,"$160,000 – $200,000","As a Full Stack Architect, you will own features from database to UI in a fast-paced startup environment.","[""Vue.js"", ""Python"", ""Django"", ""MySQL"", ""Docker"", ""Linux"", ""CI/CD""]","[""Celery"", ""ElasticSearch"", ""Nginx"", ""GitHub Actions"", ""OpenAPI"", ""Swagger""]",3-5 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
54,Data Scientist,Staff Data Scientist,BlueSky Analytics,"New York, NY",Full-time (Remote),"$110,000 – $130,000","Join our data science team as a Staff Data Scientist and help us build intelligent, data-driven products.","[""Python"", ""TensorFlow"", ""NLP"", ""Spark"", ""SQL""]","[""Airflow"", ""dbt"", ""BigQuery"", ""Plotly""]",4-6 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
55,Machine Learning Engineer,ML Engineer,Stratos AI,"Berlin, Germany",Full-time (Remote),"$200,000 – $250,000",We are hiring a ML Engineer to build and scale ML systems that power our core product experiences.,"[""Python"", ""PyTorch"", ""CUDA"", ""Hugging Face"", ""AWS"", ""Code Review"", ""Unit Testing""]","[""LangChain"", ""Weaviate"", ""Pinecone"", ""LlamaIndex"", ""TDD"", ""PagerDuty""]",5-7 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
56,DevOps Engineer,DevOps Lead,Orion Software,"Seattle, WA",Contract,"$70,000 – $90,000",Join our platform team as a DevOps Lead and enable engineering velocity through world-class DevOps practices.,"[""Docker"", ""Azure DevOps"", ""Terraform"", ""PowerShell"", ""Linux"", ""Unit Testing""]","[""Tekton"", ""Harbor"", ""Trivy"", ""Cosign"", ""Slack"", ""Swagger""]",1-3 years,"[""Build and maintain GitOps workflows using ArgoCD and Flux"", ""Manage secrets and credentials using HashiCorp Vault"", ""Implement observability stack with Prometheus, Grafana, and Loki"", ""Drive reliability improvements through SLO/SLA tracking"", ""Automate infrastructure provisioning and scaling""]"
57,Cloud Engineer,GCP Cloud Engineer,Quantum Labs,"Berlin, Germany",Full-time (Hybrid),"$150,000 – $180,000","We're looking for a GCP Cloud Engineer to lead our cloud strategy and enable faster, safer deployments.","[""AWS"", ""CloudFormation"", ""Lambda"", ""S3"", ""IAM"", ""Linux""]","[""Landing Zone"", ""Control Tower"", ""Service Catalog"", ""Macie"", ""Scrum""]",1-3 years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
58,Mobile App Developer,Lead Mobile Engineer,Nexus Systems,Hybrid – NYC,Full-time (Hybrid),"$80,000 – $100,000","We are looking for a Lead Mobile Engineer to build beautiful, performant mobile experiences for our users.","[""Flutter"", ""Dart"", ""Firebase"", ""REST APIs"", ""Git""]","[""Espresso"", ""Detox"", ""Firebase"", ""Bitrise""]",4-6 years,"[""Design and build iOS applications using Swift and SwiftUI"", ""Integrate RESTful and GraphQL APIs into the mobile app"", ""Write unit and UI tests using XCTest"", ""Submit apps to the App Store and manage releases via TestFlight"", ""Collaborate with backend and product teams on feature development""]"
59,Cybersecurity Analyst,SOC Analyst,Nexus Systems,"Los Angeles, CA",Contract-to-Hire,"$160,000 – $200,000",We need a SOC Analyst to lead our security operations and build a resilient security posture.,"[""Kali Linux"", ""Metasploit"", ""Burp Suite"", ""Nmap"", ""OWASP Top 10""]","[""AWS Config"", ""Security Hub"", ""CloudTrail"", ""Terraform"", ""BDD""]",2-4 years,"[""Lead the design and implementation of zero trust security architecture"", ""Define security standards and policies across cloud and on-premise environments"", ""Build and maintain SOAR playbooks for automated incident response"", ""Conduct red team exercises and purple team collaborations"", ""Mentor junior security analysts and conduct security awareness training""]"
60,Data Analyst,Senior Data Analyst,Stratos AI,Hybrid – SF,Full-time (Remote),"$200,000 – $250,000",Join our analytics team as a Senior Data Analyst and help us build a data-driven culture.,"[""SQL"", ""Google Analytics"", ""Python"", ""Tableau"", ""A/B Testing""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark"", ""Slack"", ""New Relic""]",0-1 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
61,Frontend Developer,Angular Developer,BlueSky Analytics,"London, UK",Full-time,"$130,000 – $160,000",Join our team as a Angular Developer and work on cutting-edge frontend applications that serve millions of users.,"[""JavaScript"", ""Angular"", ""RxJS"", ""SCSS"", ""REST APIs"", ""CI/CD""]","[""GraphQL"", ""Three.js"", ""Tailwind CSS"", ""CI/CD"", ""BDD""]",0-1 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
62,Backend Developer,API Developer,Nexus Systems,"Atlanta, GA",Contract-to-Hire,"$120,000 – $150,000",Join our engineering team as a API Developer and help design robust APIs and microservices.,"[""Java"", ""Spring Boot"", ""MySQL"", ""Kafka"", ""Maven""]","[""Celery"", ""AWS Lambda"", ""OpenAPI"", ""Pytest""]",1-3 years,"[""Design and develop scalable RESTful APIs using Python and FastAPI"", ""Build and maintain microservices deployed on AWS"", ""Write comprehensive unit and integration tests"", ""Optimize database queries and manage schema migrations"", ""Collaborate with frontend and DevOps teams""]"
63,Full Stack Developer,Senior Full Stack Engineer,Stratos AI,Remote,Contract-to-Hire,"$200,000 – $250,000",We are hiring a Senior Full Stack Engineer to work across our entire stack and deliver impactful product features.,"[""Angular"", ""Java"", ""Spring Boot"", ""MongoDB"", ""Redis"", ""Linux""]","[""Storybook"", ""Datadog"", ""Sentry"", ""Auth0"", ""OpenAPI""]",5-7 years,"[""Build end-to-end features across React frontend and Node.js backend"", ""Design and maintain PostgreSQL schemas and API endpoints"", ""Deploy and monitor applications on AWS using CI/CD pipelines"", ""Collaborate with product managers and designers"", ""Participate in agile sprints and backlog grooming""]"
